Name,Latitude,Longitude,Polygon Number
Rosa Ristorante Pizzeria,45.2281,11.8778,N/A
Taverna del Gufo,46.2683,12.3003,N/A
Il casolare da Ross e Simo,44.4963,12.0578,N/A
Il Piccolo Arcobaleno,45.188,9.1537,N/A
Brunch Cafe,45.4373,12.3311,N/A
"Osteria Pizzeria ""Senza Tempo""",45.0257,10.9952,N/A
Agrigelateria Guado,45.2882,9.3426,N/A
Birreria Romagnolo di Bonato Luca e Bianchi Davide & Co S.a.s.,46.49,11.3364,N/A
Pizzeria Ristorante Bella Napoli,45.6821,13.1273,N/A
Ristoro Di Dante,44.4321,10.4107,N/A
Maoji Street Food,45.4838,9.2193,N/A
Pasticceria Ugetti,45.0779,6.7077,N/A
Al Giardinetto Oderzo - Pizza e Cucina,45.783,12.493,N/A
Piadineria la Piadeina,44.4942,11.3453,4
La Sorgente Ristorante Pizzeria Indiano Italiano Novara,45.4751,8.613,N/A
Pizzeria Ristorante La Picara Casalmaggiore,44.9804,10.4251,N/A
Gelateria Nico,45.4296,12.3262,N/A
Bäckerei Konditorei Gatterer des Paul Gatterer & Co. OHG,46.8062,11.836,N/A
China Town,45.0435,9.7007,6
Albergo delle Alpi,46.3267,10.3255,N/A
Pasticceria Botter,45.8542,12.0244,N/A
Trattoria ai Cortili di Giordani Maria Alessandra,44.6558,11.6551,N/A
Cuore di Luca Brancati,45.6917,11.426,N/A
Hiro Restaurant,45.5315,9.0649,N/A
Yuan Sushi Revolution,45.3909,11.8065,8
Frankly,45.4843,9.2144,1
Don Raffaele - Trattoria Pizzeria,45.4587,9.154,1
Pizzeria Al Grottino Brugherio,45.5551,9.2986,N/A
Amici Miei Restaurant,45.0669,7.6684,N/A
Sleppa - 𝘃𝗶𝗮 𝗩𝗮𝗹𝗹𝗮𝘇𝘇𝗲,45.4852,9.2311,N/A
Vurria Moscova | Pizzeria,45.4767,9.1891,1
Ristorante Pizzeria La Terrazza,45.7523,10.4804,N/A
Pasticceria Ruffoni,45.8746,9.6508,N/A
Trattoria Risol Ristorante,45.915,10.0629,N/A
Koriander,46.7922,11.9808,N/A
La Corte del Duca Pizzeria,44.7495,11.3922,N/A
Rifugio Ütia Bioch,46.5471,11.9097,N/A
"Gelateria ""Da Vitto""",44.3612,9.143,N/A
Ristorante Braceviva,45.6844,9.8233,N/A
Binta Ristorante Pizzeria,46.77,12.1754,N/A
Vesuvio,44.3089,8.4783,N/A
Pizzeria Ristorante AL RIO,46.5469,12.4542,N/A
Gelateria Settimo Cielo,45.1752,11.0637,N/A
Edelweiss Stube,46.5656,12.6802,N/A
Bunker,45.7791,11.8036,N/A
Caffè Florian,45.4336,12.3382,N/A
Panificio Luppi MN,45.0092,11.2799,N/A
Spazio Caffelarte,45.6713,12.1708,N/A
Döner Kebab - Kebapci Aga San Fior (TV),45.9192,12.3548,N/A
Kalcheralm,46.8499,11.3224,N/A
Via dei Luppoli Pub,45.5548,12.1372,N/A
Panificio Fiordiponti,44.3298,9.2124,N/A
Kowa sushi - Castel Bolognese,44.3249,11.7875,N/A
Pizzeria Ristorante La Civetta,46.1413,10.7734,N/A
Caffè delle Carrozze,44.3166,9.327,N/A
Al Laghetto Cicogna,45.2765,11.487,N/A
Pizzeria Officina,44.9715,7.7637,N/A
Cafe Bel Sit,45.1229,8.7992,N/A
Ristorante e Pizzeria L'Ora | Riva del Garda,45.8786,10.8578,N/A
Pub 900,45.5221,10.8328,N/A
Ristorante Pizzeria La Fontana,44.9729,8.9577,N/A
Saccaro,45.9515,12.4885,N/A
PIZZERIA FILO 2.0 - Fidenza,44.8519,10.0757,N/A
L'Hamburgheria -la fabbrica del panino-,45.6307,12.573,N/A
PizzaRandom,45.6117,8.9516,N/A
Pizzeria JAMM Vercelli,45.3238,8.4099,N/A
Tairyo,45.4689,9.1528,1
Ristorante Europa,44.8783,10.1713,N/A
Steakhouse Gerhard Restaurant & Pizzeria,46.6254,11.1475,N/A
Mamma Mia Pizzeria,44.853,10.7368,N/A
Il Circolo di Tornavento,45.5831,8.7083,N/A
Retrogusto Ristorante Pizzeria,44.6775,10.0937,N/A
Arcano,44.7752,8.359,N/A
Chicken n Chicken,45.5443,11.5319,N/A
Pizzagrill Incanto,45.5713,9.761,N/A
DedasPuri Ristorante Georgiano & Wine Shop - Pavia,45.1854,9.1534,N/A
Farini,45.4383,12.3339,N/A
Napulè Hamburgeria Friggitoria & Pizzeria Napoletana,45.6802,9.7204,N/A
La Sosta,46.1271,8.5,N/A
Alpina 1954 Ristorante Pizzeria,46.0478,11.8741,N/A
Pizzeria La Rocca 019,45.5638,10.1179,N/A
Trani Braceria Pizzeria,45.8044,10.1077,N/A
